ID,SEX,PAY_1,AGE,LIMIT_BAL,CV_LPAY_TOT,CV_LBILL_TOT,CANT_PAY_MAY0,BILL_AMT1,LOG_BILL_AMT1,AVG_LPAY_TOT,STD_PAY_TOT,AVG_EXP_1,DEFAULT
1,1,2,24,20000,1.2771756425941274,0.8764233221233653,2,3913,8.27232,1.0894483333333334,1.8618986725025257,0.04602,1
2,1,-1,26,120000,0.6409252760514053,0.028741292513398808,2,2682,7.89469,4.7212749999999994,1.224744871391589,0.0040349999999999995,1
3,1,0,34,90000,0.07494110455873071,0.027227333665797937,0,29239,10.28329,7.31389,0.0,0.04379555555555555,0
4,1,0,37,50000,0.03916458157352923,0.024271551859964425,0,46990,10.75771,7.198548333333332,0.0,0.099324,0
5,0,-1,57,50000,0.17505429021085142,0.06284911456927299,0,8617,9.06161,8.247625,0.5163977794943223,0.191424,0
6,0,0,37,50000,0.06314713025963971,0.05318832899666104,0,64400,11.07288,7.053566666666666,0.0,0.20539200000000002,0
7,0,0,29,500000,0.05315340806391185,0.009630729178422366,0,367965,12.81575,10.17195833333333,0.0,0.024404,0
8,1,0,23,100000,0.4249069121408912,0.4661188375389133,0,11876,9.38236,5.580385,0.5477225575051662,0.029116,0
9,1,0,28,140000,0.4288172351086822,0.048234718982244455,1,11285,9.33132,5.817953333333334,0.8164965809277261,0.01903857142857143,0
10,0,-2,35,20000,1.154653639445175,1.1776045983516206,0,0,0.0,2.7495133333333333,0.5163977794943222,0.00217,0
11,1,0,34,200000,0.35096301621993314,0.07683214821471733,1,11073,9.31236,5.396475,0.983192080250175,0.013748,0
12,1,-1,51,260000,0.4406388544215381,0.037651896948048005,1,12261,9.41426,7.744611666666667,1.224744871391589,0.047123846153846155,0
13,1,-1,41,630000,0.4378009561005895,0.047048885683350763,0,12137,9.4041,6.868383333333334,0.408248290463863,0.01036095238095238,0
14,0,1,30,70000,0.6518487010281431,0.025965071102764626,4,65802,11.09442,5.233085,0.983192080250175,0.11316571428571429,1
15,0,0,29,250000,0.0,0.007953227988312732,0,70887,11.16886,8.0067,0.0,0.0243,0
16,1,1,23,50000,0.41954885272228293,0.01991875048558936,2,50614,10.832,5.930605,0.8366600265340756,0.102012,0
17,0,0,24,20000,0.8688841519507913,0.006883345617197229,4,15376,9.64063,3.799041666666667,1.0327955589886446,0.02622,1
18,0,0,49,320000,0.10383704603801001,0.11721835097144223,0,253286,12.44228,10.433488333333333,0.5477225575051662,0.23099,0
19,1,1,49,360000,0.0,0.0,1,0,0.0,0.0,1.224744871391589,0.0,0
20,1,1,29,180000,0.0,0.0,1,0,0.0,0.0,1.224744871391589,0.0,0
21,1,0,39,130000,0.15073178786655944,0.12988180307291175,0,38358,10.55474,7.853088333333335,0.4082482904638631,0.0706076923076923,0
22,1,-1,39,120000,0.6206145451849591,0.40974408477669433,0,316,5.7589,3.9545283333333336,0.0,0.0026333333333333334,1
23,1,2,26,70000,0.6521951507070317,0.004270405251747629,4,41087,10.62347,5.247538333333334,1.0327955589886446,0.012185714285714286,1
24,1,-2,40,450000,0.6767136381697585,0.6793486434610633,0,5512,8.61486,5.0881783333333335,0.0,0.011988,1
25,0,0,23,90000,0.43297073662084445,0.4314116410481498,0,4744,8.46485,6.594711666666666,0.4082482904638631,0.024115555555555557,0
26,0,0,23,50000,0.0333096448528608,0.017953106032977496,0,47620,10.77103,7.150505,0.0,0.097872,0
27,0,1,27,60000,0.8449912193488729,0.9862624710490088,1,-109,0.0,3.3390183333333336,0.983192080250175,0.005266666666666667,1
28,1,0,30,50000,0.021760887911877646,0.010787852252180234,0,22541,10.02314,7.065640000000001,0.0,0.036095999999999996,0
29,1,-1,47,50000,0.4700125796872108,0.18778163470491419,0,650,6.47851,6.628923333333333,0.0,0.15984,0
30,0,0,26,50000,0.4207009283178441,0.01663378880879966,0,15329,9.63757,5.970610000000001,0.0,0.042116,0
31,1,-1,27,230000,0.4383530409263134,0.03455041606505336,0,16646,9.71999,8.164050000000001,0.0,0.06714086956521739,0
32,0,2,33,50000,0.03968845773203048,0.012771737725433602,1,30518,10.3261,7.010786666666667,0.8164965809277261,0.052224,1
33,0,0,32,100000,0.012871824027528258,0.005743984698101443,0,93036,11.44075,8.041766666666666,0.0,0.06737399999999999,0
34,1,-2,54,500000,0.15746926238116932,0.09527909366256199,0,10929,9.29927,9.368345,0.0,0.043547199999999994,0
35,0,-2,58,500000,0.4535737481864725,0.4429589144752315,0,13709,9.52588,7.025076666666666,0.0,0.0212292,0
36,0,-1,30,160000,0.42021790617821486,1.5488195255907,0,30265,10.31778,4.977515,0.5477225575051662,0.04303625,0
37,0,0,40,280000,0.01174431691806404,0.002450081576725018,0,186503,12.13621,8.846293333333334,0.0,0.03162571428571429,0
38,1,0,22,60000,0.46876842132646457,0.43631601992499414,0,15054,9.61947,6.576825,0.4082482904638631,0.16375333333333333,0
39,0,1,25,50000,1.2886473124443572,1.2886473124443572,1,0,0.0,1.1100966666666667,1.1690451944500122,0.00312,1
40,0,-1,31,280000,0.446579305749023,0.13167776592857192,1,498,6.21261,7.18873,1.2110601416389968,0.019712142857142855,0
41,0,0,33,360000,0.13457390074210726,0.03477036704092894,0,218668,12.29531,9.574481666666667,0.0,0.15515777777777778,0
42,1,0,25,70000,0.027605046012207066,0.0020194648421021037,0,67521,11.12021,8.051686666666667,0.0,0.05255142857142857,0
43,0,0,22,10000,0.10221266167803035,0.042047583635030306,0,1877,7.53796,6.839530000000001,0.0,0.08306000000000001,0
44,1,0,37,140000,0.016315837809398093,0.004812594066098863,0,59504,10.99382,8.102566666666666,0.0,0.009574285714285716,0
45,1,0,30,40000,0.654315767299208,0.014389872468306664,1,18927,9.8484,5.355365,0.8164965809277261,0.01365,0
46,0,-2,29,210000,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1
47,1,0,22,20000,0.9085812121973419,0.4358713279240639,1,14028,9.54888,3.924418333333333,0.983192080250175,0.34103,1
48,1,0,46,150000,1.084225446594676,0.6531930368088075,0,4463,8.4038,2.331211666666667,0.8366600265340756,0.008861333333333334,1
49,0,-1,32,380000,0.03872025227423768,0.03681933679620697,0,22401,10.01691,9.582856666666666,0.0,0.05032052631578947,0
50,0,0,24,20000,0.030424669479833133,0.005522250164464887,0,17447,9.76698,6.92524,0.0,0.02561,0
51,0,1,42,70000,0.6479443382993453,0.0029908982275748835,5,37042,10.51983,5.0447766666666665,0.8366600265340756,0.012228571428571429,1
52,1,0,43,100000,0.030504408175930753,0.019752170223079863,0,61559,11.02777,7.353574999999999,0.0,0.07381399999999999,0
53,1,-2,49,310000,0.45186807399446893,0.13110113967849016,0,13465,9.50792,6.9242283333333345,0.0,0.02817354838709677,0
54,1,1,25,180000,0.01736108707563922,0.003018584451775206,2,41402,10.63111,7.434896666666666,0.8366600265340756,0.00523,0
55,1,2,29,150000,0.06165220138941944,0.032723860052702294,1,46224,10.74128,7.536185,0.8164965809277261,0.050068,0
56,1,-2,45,500000,0.6770803540940832,0.46584814641336664,0,1905,7.55276,4.359001666666667,0.0,0.0023431999999999997,0
57,1,0,34,180000,0.11997492821142208,0.4355703225616373,0,16386,9.70424,8.085533333333332,0.5477225575051662,0.03916,0
58,1,0,34,180000,0.029508855923144707,0.011010874119659654,0,175886,12.0776,8.610336666666667,0.0,0.0847,0
59,1,-1,34,200000,1.0772547321237371,0.040318610180950766,5,1587,7.37023,2.273903333333333,1.3662601021279464,0.002073,0
60,1,0,29,400000,0.034086897506177424,0.0042765394251409565,0,400134,12.89956,9.749435,0.0,0.061037,0
61,1,0,28,500000,0.03799654524101113,0.02106928839187292,0,22848,10.03666,7.252613333333334,0.0,0.0056372,1
62,0,0,39,70000,0.42846276041987363,0.15911257477294122,0,70800,11.16763,6.4108616666666665,0.4082482904638631,0.23454285714285714,0
63,0,2,29,50000,0.8682398705874337,0.005218103368217819,6,24987,10.12615,3.783375,0.0,0.011392000000000001,1
64,1,0,46,50000,1.310964443532742,1.199042224773255,0,28718,10.26531,1.1514583333333335,1.0954451150103324,0.118872,1
65,1,-1,51,130000,1.3816986014327388,1.0930023539103835,0,99,4.60517,1.2939783333333332,0.5163977794943223,0.003772307692307692,0
66,0,-2,57,200000,0.8878603510558918,0.1391029038068115,2,152519,11.93505,3.6050916666666666,1.97484176581315,0.15312299999999998,1
67,0,2,56,10000,0.4427300725208977,0.03037860919093713,3,2097,7.64874,4.741063333333334,1.0954451150103324,0.01242,1
68,1,2,30,210000,0.13508480436477982,0.15221856300393377,1,300,5.70711,6.8951866666666675,1.224744871391589,0.0041323809523809525,0
69,1,1,29,130000,0.9058697717659128,0.8987273068020661,2,-190,0.0,4.724926666666666,1.6431676725154984,0.030724615384615385,0
70,0,2,22,20000,0.6366014957928054,0.04252802883312518,1,18565,9.82909,4.520836666666667,0.8164965809277261,0.16283,0
71,0,-1,31,80000,0.4078919058700207,0.4119595518792479,0,780,6.66058,4.973925,0.0,0.004875,0
72,0,2,29,320000,0.4275477798851466,0.002902767291810992,6,58267,10.97281,6.547916666666667,0.0,0.004338125,1
73,1,-1,32,200000,0.38602542317775296,0.4318136851583863,1,9076,9.1135,6.458298333333334,1.224744871391589,0.024041999999999997,0
74,1,1,37,290000,1.1235527812201207,1.1235527812201207,1,0,0.0,2.6372466666666665,0.983192080250175,0.003802758620689655,0
75,0,-1,32,340000,0.13263829674423566,0.12260788658332138,0,3048,8.02257,9.358881666666667,0.0,0.06894647058823529,0
76,0,0,24,20000,0.6463898930573894,0.007313300713787806,1,14619,9.59015,4.688621666666666,0.8164965809277261,0.016659999999999998,0
77,0,-1,25,50000,0.08783314919772038,0.06953733192440527,0,42838,10.6652,6.793831666666666,0.4082482904638631,0.152664,0
78,1,-1,45,300000,1.457222018374357e-16,1.457222018374357e-16,0,291,5.67675,5.676749999999999,0.0,0.00097,0
79,1,0,22,30000,0.4277311613586845,0.05551283053762522,0,28387,10.25372,6.081423333333333,0.0,0.20257999999999998,1
80,1,1,44,240000,0.0,0.0,1,0,0.0,0.0,1.224744871391589,0.0,1
81,1,0,33,470000,0.09882157516568275,0.06798706752386184,0,165254,12.01525,7.914313333333333,0.0,0.06565574468085107,0
82,1,0,26,360000,0.22680779649173186,0.21473111822478885,0,23411,10.061,8.303675,0.4082482904638631,0.10089277777777778,0
83,0,0,30,60000,0.4202357718745193,0.014613872800286103,0,26324,10.17827,5.770856666666667,0.0,0.03966,1
84,1,0,44,400000,0.35151971537634624,0.01232141431880422,1,131595,11.78749,7.117208333333335,0.8164965809277261,0.028745,0
85,1,0,49,50000,0.045511759125332646,0.04048716634637089,0,48909,10.79774,6.860634999999999,0.0,0.138612,0
86,0,0,33,160000,0.12124061276947451,0.016929159759638743,0,130028,11.77551,8.859033333333333,0.0,0.13357125,0
87,1,-1,45,360000,0.6299372017952218,0.06595567128525842,1,390,5.96871,4.161956666666668,1.2110601416389968,0.0010833333333333333,1
88,1,0,32,160000,0.42502978836414074,0.09456758376887359,0,3826,8.24984,6.105578333333333,0.4082482904638631,0.011216249999999999,0
89,1,0,35,130000,0.14219801661542564,0.1911376909773177,0,81313,11.30607,8.317163333333333,0.5477225575051662,0.20728923076923075,0
90,0,2,44,20000,0.6438432138807167,0.01616420544936773,3,8583,9.05766,4.872296666666667,1.0954451150103324,0.01264,0
91,0,2,53,200000,0.008847414570981945,0.002244740558411184,6,138180,11.83632,8.603551666666666,0.0,0.016449000000000002,1
92,1,-1,39,280000,1.4207440690209525,0.887773958000894,0,7524,8.92599,1.381045,0.752772652709081,0.00820857142857143,0
93,1,-2,27,100000,1.465106620319225,1.4444079991639338,0,-2000,0.0,1.4883499999999998,0.0,0.01111,0
94,1,-1,37,160000,0.6589593928932678,0.6378909157198548,0,880,6.78106,4.9670966666666665,0.408248290463863,0.0052025,0
95,1,0,23,60000,0.052529074561000616,0.04247907324118239,0,45648,10.72874,6.873328333333334,0.0,0.10583666666666666,0
96,0,0,35,90000,0.07100875690109786,0.04517610849239261,0,83725,11.3353,7.420146666666667,0.0,0.1411177777777778,0
97,0,-1,43,360000,0.4500775524855358,0.07435323841024882,0,3967,8.28602,7.994881666666667,0.408248290463863,0.025358888888888893,0
98,0,0,27,150000,0.09554506885910918,0.025546184974419524,0,86009,11.36222,8.005433333333334,0.0,0.091016,0
99,1,0,22,50000,0.11299839421873246,0.03592006249026559,0,18722,9.83751,6.163926666666666,0.0,0.05763600000000001,0
100,0,0,38,20000,0.4391928950478978,0.19599203039919674,0,17973,9.79668,5.608571666666666,0.4082482904638631,0.23508,1
101,0,-2,32,140000,0.4745998068126421,0.19656327234243645,0,672,6.51175,5.648295,0.0,0.01749857142857143,0
102,1,-2,30,380000,0.19648276241014676,0.6770563798327698,0,-81,0.0,7.604215,0.9831920802501751,0.0015168421052631578,0
103,0,0,63,480000,0.44039678811466443,0.004220253718077723,2,422069,12.95293,8.374376666666667,1.0327955589886446,0.024532916666666665,0
104,1,0,22,50000,0.03529465366715569,0.024498953607896688,0,44698,10.70771,7.008676666666666,0.0,0.10628,1
105,1,2,26,60000,0.5557700769194418,0.0031625708707563654,5,56685,10.94528,5.717588333333334,0.816496580927726,0.039656666666666666,0
106,1,-1,24,70000,1.176635400320352,1.1806203844049865,0,5580,8.62712,2.9645716666666666,0.5477225575051662,0.015942857142857144,0
107,1,-1,36,80000,0.06723794492333525,0.07467452140948734,0,6108,8.71752,7.53375,0.0,0.0417925,0
108,0,-1,52,350000,0.10224990057894796,0.09650124632441771,0,713,6.57088,7.535848333333334,0.0,0.0032708571428571426,0
109,0,0,38,130000,0.46736383844037266,0.053402096641542426,0,171438,12.05198,8.301193333333334,0.5477225575051662,0.5043723076923077,0
110,0,1,35,360000,0.0,0.0,1,-103,0.0,0.0,1.224744871391589,0.0,0
111,1,0,31,330000,0.6667452548026683,0.000804941021853655,1,105879,11.57006,5.884505000000001,0.8164965809277261,0.01899212121212121,0
112,0,0,47,50000,0.03524008275680452,0.009117297465603602,1,13244,9.49138,7.024191666666667,0.8164965809277261,0.007404,0
113,0,2,41,280000,0.6678925841607674,0.0039649839958386555,6,135673,11.81801,6.077963333333333,0.408248290463863,0.015615714285714285,0
114,1,0,24,100000,0.03823676018465875,0.005115606977120912,0,52128,10.86148,7.947276666666666,0.0,0.016496,0
115,0,0,41,50000,0.04172566348657741,0.002618995576291927,0,19015,9.85304,6.770308333333333,0.0,0.01538,0
116,0,-1,24,30000,0.6455238718970978,0.007751461401348875,3,18199,9.80918,4.834045000000001,1.5491933384829668,0.0154,1
117,0,-1,28,240000,0.15060655116274385,0.15615713432813935,0,326,5.78996,6.40813,0.0,0.005941666666666666,0
118,0,2,26,80000,0.039431982321632676,0.008880512094030008,1,14029,9.54895,7.112561666666667,0.8164965809277261,0.0063575,1
119,0,-1,34,400000,0.033323265744517126,0.035269626758393596,0,19660,9.88639,9.127305,0.0,0.03194,0
120,1,0,38,240000,0.07649209134177899,0.18100204065975936,0,50254,10.82487,7.369916666666668,0.5163977794943223,0.04963416666666667,0
121,0,2,37,50000,0.4292038539463669,0.0035622750791697746,6,46004,10.73651,6.217196666666667,0.40824829046386296,0.020384,1
122,0,1,40,450000,0.0,0.0,1,0,0.0,0.0,1.224744871391589,0.0,1
123,1,1,48,110000,0.0,0.0,1,0,0.0,0.0,1.224744871391589,0.0,0
124,1,2,35,310000,0.028861544446692245,0.013008728370457174,1,304991,12.62804,9.069198333333334,0.8164965809277261,0.0994116129032258,1
125,0,0,27,20000,0.4226562246351135,0.008027111609602632,0,19115,9.85828,5.5309816666666665,0.0,0.07793,0
126,0,1,23,20000,0.0,0.0,1,0,0.0,0.0,1.224744871391589,0.0,0
127,0,0,52,200000,0.0033856662328084,0.0032031006816960277,0,110151,11.60962,8.209445,0.0,0.02343,0
128,0,0,36,180000,0.05685379061912562,0.016779794460168463,0,163736,12.00602,7.710164999999999,0.0,0.09064444444444444,1
129,0,0,51,50000,0.11698992781885871,0.030373150153484383,0,3347,8.11612,6.727053333333334,0.0,0.009344,1
130,0,3,55,60000,0.2888871931005441,0.0354142738988373,3,60521,11.01076,6.400860000000001,1.3291601358251257,0.13328333333333334,0
131,1,1,23,30000,0.2540947307980856,0.43417664232961867,1,4000,8.2943,7.727298333333334,1.1690451944500122,0.17970666666666665,0
132,0,1,41,240000,0.43525418860475495,0.1811444699710849,1,95,4.56435,6.025585,0.8164965809277261,0.005314999999999999,0
133,0,0,34,420000,0.017360710737897442,0.008251374873646213,0,253454,12.44294,9.079293333333332,0.0,0.051109047619047616,0
134,0,0,46,330000,0.0015101853252531632,0.00027709484256919895,0,227389,12.33442,9.0098,0.0,0.02429212121212121,0
135,1,0,22,30000,0.644840911898996,0.43827876696618756,0,28452,10.25601,4.736005,0.0,0.22088,0
136,0,0,34,240000,0.6446738490409222,0.010387082045616981,3,10674,9.27566,4.5852916666666665,1.0954451150103324,0.0009025,0
137,0,0,27,150000,0.025993125869983633,0.018808209594681345,0,17444,9.76681,8.087123333333334,0.0,0.0029533333333333334,0
138,1,0,33,210000,0.07221491546335938,0.028726608244401493,0,7166,8.87724,6.9431650000000005,0.0,0.007579047619047619,0
139,1,-1,51,50000,1.1277056806010837,0.8785308900637182,0,752,6.62407,2.397765,0.5163977794943223,0.027728000000000003,1
140,0,0,24,50000,0.05484177982980414,0.046220799114261205,0,50801,10.83569,7.225343333333334,0.0,0.154544,0
141,0,1,47,240000,0.0,0.0,1,0,0.0,0.0,1.224744871391589,0.0,1
142,0,-1,28,180000,0.43425887696628135,0.424397247599344,0,1832,7.51371,5.490611666666666,0.0,0.006848888888888889,0
143,0,1,23,50000,0.14389136062187127,0.030662523557833915,4,10131,9.22345,6.958351666666666,0.983192080250175,0.019864,0
144,0,-2,29,170000,0.01832337883283347,0.018324216830228866,0,12159,9.40591,9.287051666666667,0.0,0.0613635294117647,0
145,0,-1,29,20000,0.20041577849271178,0.183283357450149,0,1199,7.09008,7.223848333333334,0.408248290463863,0.24170999999999998,0
146,0,0,28,50000,0.4217634975276027,0.03078519776508334,1,4999,8.51719,6.0326200000000005,1.224744871391589,0.008176000000000001,0
147,1,0,27,170000,0.43225371718958927,0.028957576685126468,0,19269,9.8663,5.243855,0.0,0.016377647058823528,1
148,0,1,34,200000,0.0925911113767053,0.034500862117051764,2,197236,12.19216,9.085265,0.8366600265340756,0.215861,0
149,1,1,23,80000,0.8149883473531019,0.008754653831525691,4,9168,9.12358,3.6147233333333335,1.2110601416389968,0.003135,0
150,1,1,60,260000,0.9046515436186563,0.9040627286527806,1,-1100,0.0,3.9678950000000004,0.983192080250175,0.01730769230769231,0
151,0,0,32,140000,0.42797152680508255,0.014148597145501327,1,86627,11.36938,6.703758333333334,0.816496580927726,0.06434428571428571,0
152,0,0,25,80000,0.10067652796806444,0.01529435081997386,0,42444,10.65596,8.858495,0.0,0.149045,0
153,0,1,41,350000,0.8618531144511788,0.6511228666680028,1,208,5.34233,3.5551566666666665,0.983192080250175,0.002710857142857143,0
154,1,0,56,280000,0.10943052851416701,0.020138839189116343,0,208775,12.24902,9.244255,0.0,0.11881642857142857,0
155,1,0,26,30000,0.022087074102856215,0.015684939120863932,0,9014,9.10665,7.267213333333333,0.0,0.013386666666666668,0
156,0,0,34,140000,0.04628403995632319,0.02575918799603393,0,23944,10.08351,8.592566666666668,0.0,0.007328571428571428,0
157,1,0,37,200000,0.017805491039596694,0.005429837306104159,0,105420,11.56572,8.220621666666666,0.0,0.028949000000000003,0
158,1,0,30,200000,0.02251964933004756,0.014596279424091484,0,196031,12.18603,8.728885,0.0,0.106995,0
159,0,2,45,210000,0.00432379967149942,0.008317812537447369,6,115785,11.6595,9.293759999999999,1.4142135623730951,0.015685714285714285,1
160,0,3,57,50000,0.4192757848505635,0.004452704184777837,2,12854,9.46149,5.434796666666666,1.329160135825126,0.007884,0
161,0,2,41,30000,0.6491014641784535,0.004966643837973939,5,24357,10.10062,5.013346666666667,0.816496580927726,0.019573333333333335,0
162,0,2,27,50000,0.4182344267656529,0.07888225945689656,2,390,5.96871,5.1234383333333335,1.5491933384829668,0.0084,0
163,0,-1,47,290000,0.41217496038610935,0.06638513386238293,0,1234,7.11883,5.101154999999999,0.408248290463863,0.001943448275862069,0
164,1,0,34,250000,0.4356783488662091,0.003386214924224275,1,141223,11.8581,7.357678333333332,0.8164965809277261,0.0135464,0
165,1,0,46,60000,0.04246176137408424,0.008722748152171944,0,21148,9.95935,7.361835,0.0,0.006306666666666666,0
166,1,0,27,110000,0.02872747689442908,0.013806101179022222,0,101640,11.5292,8.134270000000003,0.0,0.07761090909090909,0
167,0,-2,50,370000,0.055258757175356873,0.04934907679859731,0,6093,8.71506,9.122311666666667,0.0,0.026964864864864865,0
168,0,-1,27,100000,0.5667107275425453,0.44531393436883215,2,102349,11.53615,5.980415000000001,1.224744871391589,0.217002,0
169,1,0,35,90000,0.43167656109484515,0.006765263425047168,1,72112,11.18599,7.00494,0.8164965809277261,0.01883111111111111,0
170,1,0,22,50000,0.045169620766914456,0.0019672898497998586,0,28040,10.24142,6.984398333333332,0.0,0.021848000000000003,0
171,0,0,37,270000,0.04071385593867005,0.014047881347541423,0,37695,10.53731,8.004648333333334,0.0,0.02226222222222222,0
172,1,-1,30,300000,0.4345516228179298,0.43512855015579194,0,688,6.53524,6.277848333333334,0.0,0.007325333333333333,0
173,1,-1,22,50000,0.48069070415118126,0.05405127965455452,0,8567,9.05579,6.543848333333333,0.4082482904638631,0.087964,0
174,1,1,24,50000,0.0,0.0,1,-709,0.0,0.0,1.224744871391589,0.010252,1
175,0,1,29,360000,1.030415687731036,1.030415687731036,1,0,0.0,0.7261183333333333,1.1690451944500122,4.277777777777778e-05,0
176,0,1,56,130000,0.6553097828462131,0.0037715168616557354,6,64617,11.07625,5.438798333333334,0.6324555320336759,0.011956923076923077,1
177,0,-2,30,80000,0.431311951675352,0.1869505346591335,0,6187,8.73037,5.621221666666667,0.8366600265340756,0.0170275,0
178,0,1,30,50000,0.6448385195103985,0.033027926950742435,3,48860,10.79673,4.904240000000001,0.983192080250175,0.12399600000000001,0
179,1,0,22,20000,0.05120646557210811,0.008462180091414587,0,16001,9.68047,6.990955,0.0,0.07007999999999999,0
180,1,0,29,80000,0.43891891525117466,0.08569699004879218,1,77883,11.26298,5.812639999999999,0.8164965809277261,0.1879925,0
181,0,-1,37,240000,0.6937653455417339,0.11541905409362058,1,12212,9.41026,5.908365,1.1690451944500122,0.02434333333333333,0
182,1,0,35,80000,0.07866014761560884,0.04476180073681607,0,49608,10.81193,8.238245000000001,0.4082482904638631,0.14787,0
183,1,0,47,500000,0.044572447372083684,0.025215562527701706,0,56422,10.94063,10.409305,0.0,0.0755632,0
184,1,0,24,60000,0.06450103392935391,0.05062465891056847,0,58024,10.96863,7.38727,0.0,0.15822,1
185,0,0,25,20000,0.43983847859048686,0.1061663322174634,0,10642,9.27266,5.54786,0.4082482904638631,0.14375,0
186,1,1,38,100000,0.6421259507565942,0.0061803868772693235,3,14483,9.5808,4.819151666666667,0.9831920802501751,0.00427,1
187,1,1,32,360000,0.08848900532733218,0.12077980898491417,1,2616,7.86978,10.074898333333332,0.816496580927726,0.08186166666666667,0
188,1,2,47,200000,0.4316505445456394,0.0018235536991480384,6,199436,12.20325,7.3992033333333325,0.0,0.038669,1
189,1,1,34,130000,0.10949512751444425,0.4359592200280699,1,0,0.0,7.666756666666667,0.6324555320336759,0.0011707692307692307,0
190,1,1,31,20000,1.0739063327907177,0.0024706537082423213,6,21703,9.98525,2.25723,1.4719601443879746,0.02976,0
191,0,0,32,310000,0.03819902616056588,0.012554045451163889,0,59901,11.00047,8.755705,0.0,0.034044516129032254,0
192,1,2,27,60000,0.42229121993854835,0.005995394536731609,2,19625,9.88461,5.961141666666666,1.0327955589886446,0.00886,1
193,1,-1,29,180000,0.701838599593316,0.7049203023638387,0,11386,9.34023,4.904558333333333,0.6324555320336759,0.013456666666666665,0
194,1,-1,24,180000,1.2123134302697411,0.6718918858367229,1,14670,9.59363,2.64086,1.3662601021279466,0.058596666666666665,0
195,0,0,36,50000,0.14972455838092083,0.5290596968916244,0,47790,10.77459,7.523500000000001,0.5163977794943223,0.214528,0
196,1,1,24,50000,0.4216982728654344,0.003197615473650251,6,36166,10.4959,6.157901666666667,0.408248290463863,0.017052,1
197,1,-2,34,150000,1.0690648335104997,1.0690648335104997,0,0,0.0,2.0126766666666667,0.0,0.00015466666666666667,0
198,1,0,22,20000,0.15807141537734853,0.03150432436921759,0,18553,9.82844,7.317356666666666,0.408248290463863,0.23071999999999998,0
199,1,-2,34,500000,0.18360469448651,0.13199712003159228,0,412,6.02345,7.270268333333334,0.5477225575051662,0.0021224,0
200,1,1,22,30000,0.6625556474009519,0.4540410157492346,3,29010,10.27543,3.910705,0.9831920802501751,0.21275333333333335,1
201,1,-2,38,180000,0.0,1.2850446881736637,0,750,6.62141,0.0,0.0,0.0008333333333333334,0
202,0,0,31,140000,0.6718192249483288,0.03340544479737951,2,27123,10.20817,5.8199716666666665,1.0327955589886446,0.07441428571428571,0
203,1,-1,26,140000,0.12960870731558538,0.13804607589987433,0,13424,9.50487,8.651965,0.408248290463863,0.07967428571428571,0
204,0,0,26,120000,0.007995904220472196,0.003766245941183176,0,107314,11.58352,8.486423333333333,0.0,0.015551666666666667,0
205,1,0,48,360000,0.02789792939064242,0.014411564536533352,0,226430,12.3302,8.709681666666667,0.0,0.062955,0
206,0,-1,43,20000,0.12583204367266898,0.17949752163102528,0,227,5.42935,7.866905,0.5163977794943223,0.10728,0
207,0,-1,47,100000,0.4316291736655329,0.41965969617406207,0,390,5.96871,5.496191666666667,0.0,0.006066,0
208,1,-1,41,210000,0.436985446105312,0.4382201424836763,0,3088,8.0356,5.71023,0.0,0.009197142857142857,1
209,1,0,24,80000,0.029464318628607995,0.02230218672196563,0,81625,11.3099,7.715288333333333,0.0,0.1102375,1
210,1,-1,50,330000,0.44239364968056777,0.43400339787216424,0,8872,9.09077,6.129178333333333,0.5163977794943223,0.010771515151515152,0
211,0,0,24,220000,0.6831422026583115,0.4527968531270671,0,105607,11.56749,6.237841666666667,0.5477225575051662,0.11269090909090909,0
212,1,1,38,210000,0.6718956328217079,0.6410488774415274,1,0,0.0,4.746305,1.0327955589886444,0.0009895238095238095,1
213,1,0,43,40000,0.023545853790281228,0.00768528572653717,0,38257,10.55211,7.2304933333333326,0.0,0.07161000000000001,0
214,0,0,39,30000,0.447620550146942,0.054728488702118785,1,28347,10.25231,5.879621666666668,0.8164965809277261,0.19106666666666666,0
215,0,2,27,470000,0.4340887358966436,0.013600204659736619,4,296573,12.60005,7.7622833333333325,1.0327955589886446,0.013590212765957446,0
216,0,-1,42,30000,0.634289554885901,0.08455435305879674,1,390,5.96871,4.11932,1.224744871391589,0.014,0
217,1,1,36,240000,0.0,0.0,1,-946,0.0,0.0,1.224744871391589,0.0,1
218,0,2,36,80000,0.008239759923632777,0.001328831682539867,1,79278,11.28073,8.084383333333333,0.8164965809277261,0.043832499999999996,0
219,1,0,31,110000,0.046572651047816674,0.011887400848367723,0,89989,11.40745,8.32196,0.0,0.08142,0
